prt;date;TrapNumber;DryLitter;leaves (g);pine needles (g);larch needles (g);spruce needles (g);cones (g);twigs (g);bark (g);lichen (g);seeds (g);rest (g);total from trap
A;09.06.2017;A1;5,82;0,06;0,70;0,00;2,33;0,00;1,06;0,40;0,02;1,03;0,27;5,87
A;09.06.2017;A2;5,61;0,09;0,89;0,00;1,70;0,00;1,23;0,65;0,08;0,85;0,14;5,63
A;09.06.2017;A3;7,15;0,07;0,69;0,00;0,98;3,70;0,23;0,58;0,08;0,69;0,13;7,15
A;09.06.2017;A4;4,00;0,06;0,93;0,00;0,63;0,00;0,71;0,75;0,12;0,69;0,11;4,00
A;09.06.2017;A5;7,02;0,00;2,04;0,00;0,68;2,73;0,34;0,43;0,09;0,62;0,13;7,06
A;09.06.2017;A6;4,23;0,00;2,06;0,00;0,06;0,00;0,39;0,94;0,00;0,58;0,12;4,15
A;09.06.2017;A7;3,66;0,00;1,19;0,00;0,20;0,41;0,53;0,63;0,01;0,50;0,10;3,57
A;09.06.2017;A8;3,32;0,00;1,36;0,00;0,05;0,46;0,03;0,71;0,11;0,54;0,09;3,35
A;09.06.2017;A10;4,42;0,00;2,26;0,00;0,00;0,31;0,52;0,70;0,01;0,50;0,13;4,43
A;24.07.2017;A1;13,96;;;;;;;;;;;
A;24.07.2017;A2;12,42;;;;;;;;;;;
A;24.07.2017;A3;11,05;;;;;;;;;;;
A;24.07.2017;A4;6,81;;;;;;;;;;;
A;24.07.2017;A5;11,16;;;;;;;;;;;
A;24.07.2017;A6;10,18;;;;;;;;;;;
A;24.07.2017;A7;9,08;;;;;;;;;;;
A;24.07.2017;A8;8,66;;;;;;;;;;;
A;24.07.2017;A10;12,31;;;;;;;;;;;
A;29.08.2017;A1;5,7;;;;;;;;;;;
A;29.08.2017;A2;3,16;;;;;;;;;;;
A;29.08.2017;A3;4,43;;;;;;;;;;;
A;29.08.2017;A4;0;;;;;;;;;;;
A;29.08.2017;A5;5,88;;;;;;;;;;;
A;29.08.2017;A6;50,76;;;;;;;;;;;
A;29.08.2017;A7;6,87;;;;;;;;;;;
A;29.08.2017;A8;7,96;;;;;;;;;;;
A;29.08.2017;A10;10,23;;;;;;;;;;;
A;06.10.2017;A1;12,63;;;;;;;;;;;
A;06.10.2017;A2;14,1;;;;;;;;;;;
A;06.10.2017;A3;15,4;;;;;;;;;;;
A;06.10.2017;A4;16,66;;;;;;;;;;;
A;06.10.2017;A5;14,13;;;;;;;;;;;
A;06.10.2017;A6;18,29;;;;;;;;;;;
A;06.10.2017;A7;16,27;;;;;;;;;;;
A;06.10.2017;A8;19,82;;;;;;;;;;;
A;06.10.2017;A10;18,27;;;;;;;;;;;
A;08.11.2017;A1;9,51;;;;;;;;;;;
A;08.11.2017;A2;8,21;;;;;;;;;;;
A;08.11.2017;A3;13,11;;;;;;;;;;;
A;08.11.2017;A4;7,72;;;;;;;;;;;
A;08.11.2017;A5;8,04;;;;;;;;;;;
A;08.11.2017;A6;7,61;;;;;;;;;;;
A;08.11.2017;A7;31,79;;;;;;;;;;;
A;08.11.2017;A8;8,59;;;;;;;;;;;
A;08.11.2017;A10;11,34;;;;;;;;;;;
